Zone,Circle_Name,Division_Name,SubStation_Name,Feeder_Name,newMeterNumber,3/1/2026,3/2/2026,3/3/2026,3/4/2026,3/5/2026,3/6/2026,3/7/2026,3/8/2026,3/9/2026,3/10/2026,3/11/2026,3/12/2026,3/13/2026,3/14/2026,3/15/2026,3/16/2026,3/17/2026,3/18/2026,3/19/2026,3/20/2026,3/21/2026,3/22/2026,3/23/2026,3/24/2026,3/25/2026,3/26/2026,3/27/2026,3/28/2026,3/29/2026,3/30/2026,3/31/2026,4/1/2026,4/2/2026,4/3/2026,4/4/2026,4/5/2026,4/6/2026,4/7/2026,4/8/2026,4/9/2026,4/10/2026,4/11/2026,4/12/2026,4/13/2026,4/14/2026,Avg_Duration_Per_Day
AZAMGARH,EDC BALLIA,EDD III BANSDIH,33/11 KV KARSAR,Pur,HP9000897,23.5,19,19,20.5,24,20,18,20.5,15.5,20,null,22.5,21,19.5,20,21.5,18,18.5,19,17.5,18,10.5,20,15.5,16.5,19.5,19,16.5,12,19.5,19,19,19.5,13.5,12,12.5,8.5,11.5,12.5,15,14.5,12,12.5,12,12.5,17.06818182
PRAYAGRAJ,EDC PRATAPGARH,"EDD KUNDA,PRATAPGARH",33/11 KV BIHAR,MUGALPUR,SC10292626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAYAGRAJ,EDC PRATAPGARH,"EDD KUNDA,PRATAPGARH",33/11 KV CHAUKAPAR,TOWN 1,SC10292643,23.5,22.5,22,22.5,24,22.5,22,24,22.5,24,24,24,24,22.5,22.5,21.5,22.5,22.5,23,22.5,19.5,24,23.5,22.5,22,22.5,22.5,22,22.5,23,22.5,22.5,14,22.5,22.5,19.5,23,23.5,21.5,20.5,23.5,22,17.5,23.5,19.5,22.23333333
MIRZAPUR,EDC-MIRZAPUR,"EDD KACHCHAWA,MIRZAPUR",33/11 KV KACHHWA,Sub Station,SC10292930,12.5,24,22,22.5,11.5,19.5,18,19,22,22.5,22.5,24,24,23,24,23.5,null,23,24,23,23.5,23.5,23.5,23.5,24,24,23,21.5,23.5,21,23.5,24,22.5,23,21,23.5,24,23,23,21.5,22.5,24,23.5,23,22.5,22.27272727
MIRZAPUR,EDC BHADOHI,EDD I BHADOHI,33/11 KV Vijala,Harerampur,SC10292934,23,19,19.5,20.5,24,19.5,20,22,20,24,23,22,22,20,19.5,21,19,19,20,19.5,19.5,22,22.5,20.5,19,19.5,20,17.5,19,18.5,18.5,20.5,15.5,20.5,17.5,19.5,18,21.5,18,18.5,21,18.5,17,14.5,20,19.85555556
AZAMGARH,EDC-MAU,EDD MAU,33/11 KV NEW OLD POWER HOUSE SUBSTATION,OFFICER COLONY-6,SC10293469,23,20,24,24,24,24,24,24,23,24,null,22.5,24,23,24,24,22.5,24,24,24,23.5,21,24,24,24,24,24,24,24,24,24,24,24,23.5,21.5,23.5,20.5,24,23.5,24,24,23,24,22,21,23.38636364
VARANASI,EDC II JAUNPUR,"EDD BADALAPUR,JAUNPUR",33/11 KV UTRAI,BELWA,SC10349733,20,20,18.5,18.5,24,20,19.5,19,19,20,21,17.5,18,20,19,18,19.5,19,20.5,19.5,13.5,13,18.5,19.5,20.5,20,19,18,12,20,19.5,19,17,18,16,null,17.5,17,16.5,18.5,17,15.5,14,16.5,16,18.23863636
PRAYAGRAJ,EDC FATEHPUR,EDD FATEHPUR,33/11 KV SAURA,REAWRI,HP8500014,16.5,19,18.5,18.5,24,19,19,19,19,19,18.5,18.5,18.5,19,18.5,19,18.5,18,18,19,16.5,16,19,19,18,19,18.5,18,18,19,19,16.5,10.5,18,15,14.5,15.5,19,14,18,17.5,18,16.5,17,16.5,17.85555556
PRAYAGRAJ,EDC FATEHPUR,EDD KHAGA,33/11 KV PALIYA BUJURG,KARMAUN FEEDER,HP8500067,21.5,20.5,19,20.5,24,19.5,20,20,20,21,20,19.5,null,19.5,23,21.5,19,19.5,null,20.5,15,8,19.5,21.5,20,null,20.5,17.5,19,15.5,18.5,18,7.5,18,19,17.5,10,23.5,16.5,20,19.5,16.5,14,18,17.5,18.54761905
PRAYAGRAJ,EUDC II PRAYAGRAJ,EUDD BAMRAULI,33/11 KV BAMRAULI,11 KV PARAG DAIRY,HP8500102,24,24,24,24,24,24,24,24,24,24,23.5,23.5,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23.5,19.5,24,24,23,24,24,23,24,24,23,24,23,24,24,24,24,23.77777778
PRAYAGRAJ,EDC KAUSHAMBI,EDD CHAYAL,33/11 KV CHARWA,KAJU,HP8500415,18.5,18.5,19,18.5,24,18.5,18.5,18.5,19,18,19,18.5,19,18.5,19,19,19,18.5,19,19,18.5,23.5,19,18,19.5,18,19.5,16.5,18.5,19,19,18.5,15,16.5,18.5,17.5,17.5,18,18,17,18.5,18.5,18,18,18.5,18.58888889
MIRZAPUR,EDC SONBHADRA,EDD ROBERTSGANJ,33/11 KV UNCHDIH,PARASI,HP8500628,22,18,19,21,24,19.5,18.5,21.5,19.5,24,21.5,21.5,20.5,13,19,20.5,18.5,18,18,17,16,16,22,20,18,19.5,18,18.5,15,17.5,17,17,18,17,15,17.5,15.5,14.5,15,15.5,16,12.5,12.5,13,15,17.91111111
MIRZAPUR,EDC SONBHADRA,EDD PIPARI,33/11 KV Dumer diha,Jharo,HP8500646,19,14.5,18.5,19,24,19,19,17,13.5,null,19,18.5,19,18,19,18.5,null,17.5,18.5,19,19,13,14,18.5,18,16.5,19,19,17.5,19.5,17,18.5,17.5,19,17.5,18.5,18.5,18,19,18.5,18.5,19,18.5,18.5,18,18.11627907
PRAYAGRAJ,EDC I PRAYAGRAJ,"EDD YAMUNAPAR,PRAYAGRAJ",33/11 KV REWA ROAD,TGW,HP8500894,24,21,22.5,20.5,24,21,21.5,22.5,21,22.5,22,21,22,21.5,22.5,22,21,21,19.5,16.5,19,17.5,21.5,21,14,19.5,21,18,20,19,19.5,22,14.5,20,19.5,17.5,20,20.5,19,19.5,23,21,17,22,17,20.26666667
VARANASI,EDC GHAZIPUR,EDD ZAMANIA,33/11 KV TARIGHAT(SUHWAL),YUVRAJPUR,HP9000253,18.5,19,19.5,19,24,17.5,18.5,19,19,16.5,19,19,19,19,19,19,19,19,19,19,18.5,20,17.5,19,19,19,16,19,18,19,19,19,19,18.5,null,17.5,17,18.5,17.5,12,18.5,18.5,18.5,18.5,18.5,18.54545455
AZAMGARH,EDC-MAU,"EDD KOPAGANJ,MAU",33/11 KV Chiraiyakot,Aldemau,HP9000306,20.5,20,19.5,20.5,24,19.5,18,21.5,19.5,22,21,22.5,19.5,20.5,20,20.5,18,17.5,18.5,19.5,18.5,15,22.5,20,20,16.5,19,15.5,16,17.5,19,18.5,17,15,null,13.5,9,17,17.5,17,13,12.5,16,17.5,19,18.28409091
AZAMGARH,EDC-MAU,"EDD KOPAGANJ,MAU",33/11 KV Karahan,Town,HP9000414,22.5,21.5,19.5,21,24,19.5,20,22.5,20,24,22.5,20,23,20.5,22,19,19.5,19,19.5,20.5,20,20,22,18,15,19.5,19,17,13,19,18,19,18,16.5,15,null,12,15,14.5,18,15,15,15,15.5,16.5,18.76136364
AZAMGARH,EDC I AZAMGARH,"EDD SAGADI,AZAMGARH",33/11 KV LATGHAT,MAHULA,HP9000419,18.5,17.5,20.5,19.5,24,19.5,20,19.5,19,19.5,null,19,18,21,18.5,21.5,20,20.5,20.5,19,18.5,20,21.5,21,20.5,21,20,20,20,20,20.5,18.5,19,16,15,17.5,14.5,18.5,19,20.5,20,16.5,16.5,16.5,16,19.14772727
VARANASI,EDC VARANASI,"EDD HARAHUA, VARANASI",33/11 KV ANEI,SONAI,HP9000435,24,24,22,24,24,23.5,24,24,24,24,23,23.5,24,24,23,24,24,24,24,24,20.5,16.5,24,24,24,20.5,23.5,23.5,24,24,24,24,21.5,24,null,22,13.5,24,23.5,23.5,24,24,21,24,24,23.10227273
VARANASI,EDC II JAUNPUR,"EDD BADALAPUR,JAUNPUR",33/11 KV NEWARIYA,Bhoda,HP9000616,22,19,17.5,20.5,24,19,20,20.5,18.5,22,22,22,22,19.5,21.5,23.5,19.5,20,20,20,17.5,21,21.5,22,19.5,18,19.5,20,18.5,21.5,19.5,20.5,16.5,16.5,15,19,11,21.5,21,20.5,19,20.5,15.5,18,19,19.66666667
PRAYAGRAJ,EDC KAUSHAMBI,EDD KAUSHAMBI,33/11 KV MANJHANPUR,Bharwari-M,SC10292822,19.5,20.5,21,21,24,23.5,20,19,19,19,19,19,19,19.5,null,21.5,24,23.5,23.5,23.5,17,15,20.5,20.5,21,23,23.5,24,21.5,24,22.5,24,15.5,24,22.5,23,23.5,23.5,20,22.5,19,20.5,22,23.5,23,21.31818182
PRAYAGRAJ,EUDC I PRAYAGRAJ,EUDD KARELABAGH,33/11 KV KARELI,KARELI,SC10292843,23.5,21.5,21,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,null,24,24,24,24,24,24,23,24,24,24,24,24,24,23.5,21.5,24,24,24,24,23.5,24,23.5,24,24,24,24,23.75
MIRZAPUR,EDC-MIRZAPUR,EDD MIRZAPUR,33/11 KV VINDHYACHAL,DHAM,SC10292870,24,24,23.5,24,24,24,19,18.5,20,19,21,19.5,18.5,24,null,22.5,24,24,23,24,24,24,24,24,24,24,24,24,24,24,24,24,23.5,24,23,24,24,24,23.5,24,24,24,24,24,24,23.14772727
MIRZAPUR,EDC-MIRZAPUR,EDD MIRZAPUR,33/11 KV SAKHOURA,SAKHOURA,SC10292898,23,23,23.5,24,24,23.5,24,24,20.5,null,24,24,22,23.5,24,22.5,22.5,21.5,null,24,19,24,23.5,24,24,21.5,24,19,22.5,23,24,24,24,24,21.5,24,23.5,24,20.5,23.5,24,20.5,24,24,24,23.05813953
VARANASI,EDC-CHANDAULI,EDD CHANDAULI,33/11 KV CHANDAULI,Town 1 kachahri,SC10293328,24,24,24,24,24,24,24,null,24,24,null,23.5,24,24,24,22.5,23.5,22.5,23.5,24,23,22,24,24,24,24,24,23.5,23,23,21.5,22.5,23.5,24,23.5,23.5,24,24,24,24,24,22.5,23.5,24,24,23.59302326
PRAYAGRAJ,EUDC I PRAYAGRAJ,EUDD KALYANIDEVI,33/11 KV NEW KHUSRU BAGH (IND),Water works,SC10349376,10,14,19,20,14,11.5,14.5,13.5,12,14,14,16,13,16.5,18,17,18,null,18,19.5,18,18,16.5,17.5,17,17.5,15,14.5,17,17.5,18.5,20.5,19,18,18.5,17,18.5,19,23.5,20.5,21.5,19.5,18.5,17,20,17.05681818
PRAYAGRAJ,EDC II PRAYAGRAJ,"EDD GANGAPAR,PRAYAGRAJ",33/11 KV SIKANDRA,BAHARIYA,SC10349518,23.5,19.5,20.5,21,24,19.5,19,23.5,19.5,22.5,23.5,23.5,22,19.5,20,21.5,18.5,19.5,19.5,19,18,24,22.5,20,20,20.5,19,19,18,20.5,18.5,19.5,13,16.5,19,17.5,19.5,21,21,20,17.5,20,16,17,18.5,19.88888889
VARANASI,EDC VARANASI,"EDD BARAIPUR, VARANASI",33/11 KV SEWAPURI,SIRIHIRA,SC10349716,9.5,10,10,9,10,10,10,9.5,9,8.5,4.5,9.5,7.5,7,9.5,8.5,10,10,9,7,7,8.5,8.5,6,10,2,3,2.5,0.5,3,0.5,0,0,0,2,0,1.5,5.5,5.5,0.5,0,4,2,2.5,6.5,5.766666667
VARANASI,EDC II JAUNPUR,EDD MACHHLISHAHAR,33/11 KV JANGHI,MUNGRA BADSHAHPUR,SC10349753,16,20.5,19,22,24,19.5,19.5,22.5,19.5,21,21.5,21.5,22.5,22,20.5,21,20,20,21.5,20,18.5,19.5,17,20,20.5,19.5,18,17.5,16,21,19.5,20,14,20,14.5,17.5,15.5,21,18.5,19,21.5,16,15.5,20,17,19.35555556
PRAYAGRAJ,EDC FATEHPUR,"EDD BINDAKI,FATEHPUR",DEOMAI,TIWARIPUR,HP8500098,23,20,18.5,21.5,24,19.5,20.5,14.5,19.5,24,24,20.5,20,21,20,21.5,20.5,20,21,18.5,16.5,24,22,20.5,21,19.5,20,21,20,20.5,17.5,14.5,9.5,15,14.5,13.5,6,9,15,14.5,12,12,10.5,14.5,14.5,17.98888889
PRAYAGRAJ,EUDC I PRAYAGRAJ,EUDD RAMBAGH,33/11 KV GAUGHAT,11 KV BALUWAGHAT,HP8500390,24,24,23.5,23.5,23,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,23.5,24,null,23,23.5,24,24,24,23.5,24,24,24,21.5,24,24,24,24,22.5,24,24,24,24,24,24,24,23.78409091
MIRZAPUR,EDC BHADOHI,EDD I BHADOHI,33/11 KV Mamhar,Jaganathapur,HP8500604,17.5,17.5,16,17,19,18.5,16,22.5,20,24,22.5,21,21.5,21,20.5,21,19.5,null,20,19.5,12.5,20,22.5,20.5,19.5,19.5,20,17,19,20.5,19.5,20.5,16.5,20.5,18.5,19.5,22.5,21.5,18.5,10.5,22,21,19.5,21.5,19.5,19.47727273
MIRZAPUR,EDC SONBHADRA,EDD PIPARI,33/11 KV Chatarwar,Jal Nigam 2,HP8500637,22,22.5,21.5,23,23.5,22,22.5,23.5,20.5,12.5,20.5,21,17,18,20,20,22,22,null,null,22.5,11,23.5,22.5,22,22.5,22.5,22.5,22.5,22,22,22.5,22.5,21.5,17,22.5,21.5,23,23.5,20.5,23,23.5,22.5,23.5,22,21.36046512
PRAYAGRAJ,EDC FATEHPUR,EDD FATEHPUR,33/11 KV DATAULI,DATAULI,HP8500797,22.5,20.5,22,19.5,24,20.5,19,23,21,19.5,17.5,20.5,19.5,19,18.5,19,18.5,19.5,19,19,17,15.5,19,19.5,20.5,24,19.5,19.5,20.5,19.5,19.5,20.5,9,18.5,16.5,13,3,18.5,12.5,14.5,18.5,18.5,18.5,18.5,18.5,18.53333333
PRAYAGRAJ,EUDC II PRAYAGRAJ,EUDD TAGORE TOWN,33/11 KV GOVINDPUR SUBSTATION,KAILASH PURI,HP8500859,24,24,24,23.5,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,22,24,24,24,24,24,23.5,24,24,24,24,24,23.5,24,24,24,24,24,24,24,24,24,24,24,24,23.92222222
MIRZAPUR,EDC BHADOHI,EDD II GOPIGANJ,33/11 KV Khamariya-I,SUBSTATION,HP8500968,21.5,21,20,21,24,20,20,23,19.5,23,null,22.5,21,20,19.5,21,20,19,20.5,20,20,18,22.5,20.5,19.5,20,20,20,20,20.5,19.5,21,13.5,20,18.5,19,21.5,20,20,21,18.5,22.5,20,20.5,20,20.29545455
VARANASI,EDC GHAZIPUR,EDD SAIDPUR,33/11 KV NANDGANJ,MAINPUR,HP9000283,20,18.5,19,19,24,18.5,13.5,18,19,19.5,20.5,19,18,19.5,16.5,19,19,17.5,18.5,19.5,19.5,17,19,18.5,17.5,13.5,18.5,19,19,19,19,19,18.5,15,null,18,15.5,18,18.5,18.5,17.5,18,16.5,18,17.5,18.27272727
AZAMGARH,EDC-MAU,"EDD KOPAGANJ,MAU",33/11 KV Walidpur,Bhira,HP9000407,21.5,21,19.5,20.5,23.5,19.5,18.5,20,20,22.5,null,22.5,23.5,22.5,21.5,20,17.5,20,19.5,20,19.5,19,23,20.5,21,17.5,19,19,19,19,18.5,19,19,17.5,17,17.5,16.5,17,17,17.5,19,16,17,16.5,13.5,19.28409091
VARANASI,EUDC I VARANASI,"EUDD BHELUPUR, VARANASI",33/11 KV BHADAINI S/S,PANDEY HAWELI-III,HP9000662,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23.5,24,24,24,24,24,24,24,24,24,23.98888889
AZAMGARH,EDC I AZAMGARH,"EDD LALGANJ,AZAMGARH",33/11 KV TAWARA,BANGAON PTW,HP9000810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0
AZAMGARH,EDC-MAU,"EDD KOPAGANJ,MAU",33/11 KV Chiraiyakot,Sechuai,HP9000860,20,20,19,20.5,24,18,18.5,20.5,19,21.5,21,23,20.5,20,21,19.5,18.5,17.5,18.5,19,18.5,15,22.5,20,19,16.5,18,18.5,16.5,18.5,18.5,19,17.5,14.5,12.5,14,11.5,17.5,18,17,14.5,14,16,17.5,19,18.3
PRAYAGRAJ,EDC FATEHPUR,EDD FATEHPUR,33/11 KV SHANTI NAGAR,LUCKNOW ROAD,SC10292506,23.5,23.5,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,21,18,22.5,24,23.5,23,24,24,24,24,24,24,22.5,24,24,21,23.5,24,22.5,23,24,24,23.5,23.5,24,23.47777778
PRAYAGRAJ,EDC PRATAPGARH,EDD LALGANJ,33/11 KV SANGIPUR,SUJAKHAR,SC10292534,22,19.5,19.5,20,23.5,18.5,18.5,20.5,19,20,19,22,14.5,20.5,null,21.5,19,18.5,20.5,18,18,23.5,23,20.5,19.5,19.5,19,19,19.5,20,19,16,13.5,18.5,17.5,13,14,20,18,20,13,16.5,14,17,14,18.63636364
PRAYAGRAJ,EDC PRATAPGARH,EDD RANIGANJ,33/11KV BHUPIAMAU,SEPERATE,SC10292683,19.5,19,19.5,19.5,20,19,19,19,19.5,19.5,20,19,19.5,19.5,null,19.5,19,19,19,19,16.5,24,19,19,17.5,19,18.5,18,19,19,19,19,15,16.5,19,18.5,17.5,18.5,18.5,19,18.5,18.5,17.5,19,18.5,18.84090909
